STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION,Version,TIME_PERIOD,Time period,OBS_VALUE,Observation value,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,USA,United States,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,1.310865164,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,OECD,OECD,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,2.273351192,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ARG,Argentina,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,2.557883739,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,PRY,Paraguay,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,2.019664288,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,PER,Peru,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,1.803536057,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,URY,Uruguay,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2014,,0.984126985,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUS,Australia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.700077891,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUT,Austria,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.800630689,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,BEL,Belgium,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.670048237,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CAN,Canada,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.675306797,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CHL,Chile,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.341765881,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,COL,Colombia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.980052471,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CRI,Costa Rica,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,0.849206388,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CZE,Czechia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,3.025262117,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.937693,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,EST,Estonia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.934222698,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FIN,Finland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.518016577,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.812613726,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.332411051,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,GRC,Greece,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.591600657,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,HUN,Hungary,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.76733458,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ISL,Iceland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.203089476,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,IRL,Ireland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.134929419,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ISR,Israel,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.832093239,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,3.103652954,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,JPN,Japan,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.080915213,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,KOR,Korea,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.385948181,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LVA,Latvia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.708120823,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LTU,Lithuania,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.633250952,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LUX,Luxembourg,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.541836739,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,MEX,Mexico,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.464817286,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,NLD,Netherlands,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.55173254,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,NZL,New Zealand,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.085777998,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,NOR,Norway,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.373485327,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,POL,Poland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.385318041,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,PRT,Portugal,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.871757984,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,SVK,Slovak Republic,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.33060503,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,SVN,Slovenia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.340628147,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ESP,Spain,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.392248631,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,SWE,Sweden,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.54440546,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CHE,Switzerland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.606973529,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,TUR,Türkiye,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.949660778,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,GBR,United Kingdom,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.901723742,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,USA,United States,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.310865164,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,OECD,OECD,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.280791521,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ARG,Argentina,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.557883739,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,PRY,Paraguay,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,2.019664288,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,PER,Peru,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,1.803536057,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,URY,Uruguay,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2015,,0.984126985,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUS,Australia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.700077891,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,AUT,Austria,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.800630689,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,BEL,Belgium,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.670048237,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CAN,Canada,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.675306797,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CHL,Chile,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.341765881,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,COL,Colombia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.980052471,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CRI,Costa Rica,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,0.849206388,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,CZE,Czechia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,3.025262117,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DNK,Denmark,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.937693,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,EST,Estonia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.934222698,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FIN,Finland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.518016577,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,FRA,France,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.812613726,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,DEU,Germany,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.332411051,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,GRC,Greece,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.591600657,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,HUN,Hungary,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,1.76733458,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ISL,Iceland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.203089476,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,IRL,Ireland,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.134929419,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ISR,Israel,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.832093239,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,ITA,Italy,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.831331491,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,JPN,Japan,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.080915213,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,KOR,Korea,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.385948181,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LVA,Latvia,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.708120823,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LTU,Lithuania,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.633250952,,F,Free (free for publication),2,Two,A,Normal value,0,Units
DATAFLOW,OECD.ELS.JAI:DSD_EPL@DF_EPL(1.0),Strictness of employment protection,I,A,Annual,LUX,Luxembourg,EPL_OV,Individual and collective dismissals (regular contracts),0_TO_6,0-6 scale,VERSION4,Version 4 (2013-2019),2016,,2.541836739,,F,Free (free for publication),2,Two,A,Normal value,0,Units
